line,ref_kind,direct_method,path_expression,tail
2305,db.ref,set,DB_PATH+'/global/inventory/'+updated.id,".set(0);clsModal('modal-edit-master');showToast('Produk diperbarui.','success');sjAudit('PRODUCT_EDIT',n);SJPro.renderProductMaster();SJPro."
2322,db.ref,set,DB_PATH+'/global/'+node+'/'+key,".set({id:key,name,phone,note,active,createdAt:sjNowIso(),createdBy:currentUserName})}SJX._personEditKey='';clsModal('modal-sjx-person');show"
2322,db.ref,update,DB_PATH+'/global/'+node+'/'+key,".update({name,phone,note,active,updatedAt:sjNowIso(),updatedBy:currentUserName});else{key=sjPushKey(DB_PATH+'/global/'+node);await db.ref(DB"
2353,db.ref,once,DB_PATH+'/global',".once('value'),12000,'GLOBAL_REFRESH_TIMEOUT');     var g=snap.val()||{};     g.menu=SJHarden.menuArray(g.menu);g.kategori=SJHarden.category"
2362,db.ref,once,DB_PATH+'/global/menu',".once('value'),9000,'CART_REVALIDATE_TIMEOUT');     return SJHarden.menuArray(snap.val())   },    async revalidateCart(){     if(!cart.lengt"
2391,db.ref,once,DB_PATH+'/global/'+node,".once('value'),9000,'PERSON_LOOKUP_TIMEOUT');     var raw=snap.val()||{},rows=sjArr(raw),found=rows.find(x=>this.norm(x.name)===n);     if(f"
2395,db.ref,set,DB_PATH+'/global/'+node+'/'+key+'/id',".set(id);       return id     }     var id=sjPushKey(DB_PATH+'/global/'+node);     await db.ref(DB_PATH+'/global/'+node+'/'+id).set({id:id,n"
2399,db.ref,set,DB_PATH+'/global/'+node+'/'+id,".set({id:id,name:n,phone:'',note:'Dibuat otomatis dari transaksi legacy/operasional',active:true,createdAt:sjNowIso(),createdBy:currentUserN"
2421,db.ref,update,DB_PATH,".update(updates),12000,'REFERENCE_MIGRATION_TIMEOUT');       sjAudit('REFERENCE_MIGRATION','Customer '+cCount+' • Employee '+eCount)     }  "
2428,db.ref,once,DB_PATH+'/global/transactionReservations',".once('value'),10000,'RESERVATION_SCAN_TIMEOUT').catch(()=>null);     if(!snap)return 0;     var rows=sjArr(snap.val()),now=Date.now(),recov"
2436,db.ref,once,DB_PATH+'/'+shift+'/tx/'+txId,".once('value'),7000,'RESERVATION_TX_CHECK_TIMEOUT').catch(()=>null);       if(txSnap&&txSnap.exists()){         await db.ref(DB_PATH+'/globa"
2438,db.ref,update,DB_PATH+'/global/transactionReservations/'+key,".update({status:'COMMITTED',committedAt:sjNowIso(),recoveredCheckAt:sjNowIso()});         continue       }       var claim=await sjTimeout(d"
2441,db.ref,transaction,DB_PATH+'/global/transactionReservations/'+key,.transaction(cur=>{         if(!cur||cur.status!=='PENDING'||Date.now()-sjNum(cur.lastActivityTs||cur.ts)<this.reservationStaleMs)return;   
2451,db.ref,transaction,DB_PATH+'/global/inventory/'+item.productId,".transaction(cur=>sjNum(cur)+q),8000,'RESERVATION_RECOVER_STOCK_TIMEOUT');           var lid=sjPushKey(DB_PATH+'/global/stockLedger');      "
2453,db.ref,set,DB_PATH+'/global/stockLedger/'+lid,".set({id:lid,productId:item.productId,productName:item.name||'',delta:q,type:'TX_RESERVATION_RECOVERY',refId:txId,user:currentUserName||'SYS"
2456,db.ref,update,DB_PATH+'/global/transactionReservations/'+key,".update({status:'RECOVERY_REVIEW_REQUIRED',recoveredAt:sjNowIso(),recoveredBy:currentLoginId||'SYSTEM',reviewReason:'Prepared stock intent d"
2459,db.ref,update,DB_PATH+'/global/transactionReservations/'+key,".update({status:'RECOVERED',recoveredAt:sjNowIso(),recoveredBy:currentLoginId||'SYSTEM'});           recovered++         }       }catch(e){ "
2464,db.ref,update,DB_PATH+'/global/transactionReservations/'+key,".update({status:'RECOVERY_ERROR',recoveryError:String(e.message||e),recoveryErrorAt:sjNowIso()}).catch(()=>{})       }     }     if(recovere"
2473,db.ref,transaction,DB_PATH+'/global/inventory/'+r.id,".transaction(cur=>sjNum(cur)+sjNum(r.q))}catch(e){sjSaveError('TX_ROLLBACK_STOCK',e)}     }     await db.ref(DB_PATH+'/global/transactionRes"
2475,db.ref,update,DB_PATH+'/global/transactionReservations/'+txId,".update({status:'ROLLED_BACK',rolledBackAt:sjNowIso(),rollbackReason:String(reason||'TRANSACTION_FAILED')}).catch(()=>{})   },    async proc"
2511,db.ref,,DB_PATH+'/global/inventory/'+p.id,",rk=sjPushKey(DB_PATH+'/global/transactionReservations/'+txId+'/reservedItems');         await sjTimeout(db.ref(DB_PATH+'/global/transaction"
2512,db.ref,set,DB_PATH+'/global/transactionReservations/'+txId+'/reservedItems/'+rk,".set({productId:p.id,q:q,name:p.n,state:'PREPARED',preparedAt:sjNowIso()}),5000,'TX_JOURNAL_PREPARE_TIMEOUT');         var tr=await sjTimeou"
2514,db.ref,update,DB_PATH+'/global/transactionReservations/'+txId+'/reservedItems/'+rk,".update({state:'REJECTED',rejectedAt:sjNowIso()}).catch(()=>{});throw Object.assign(new Error('Stok '+p.n+' tidak mencukupi.'),{code:'STOCK_"
2517,db.ref,update,DB_PATH+'/global/transactionReservations/'+txId+'/reservedItems/'+rk,".update({state:'RESERVED',reservedAt:sjNowIso(),afterQty:sjNum(tr.snapshot.val())}),5000,'TX_JOURNAL_ITEM_TIMEOUT');         await db.ref(DB"
